都道府県,1935年,2017年
北海道,109941,34040
青森県,41046,8035
岩手県,40429,8175
宮城県,45039,16648
秋田県,41722,5396
山形県,41073,7259
福島県,56059,13217
茨城県,53532,20431
栃木県,41799,14029
群馬県,42171,13279
埼玉県,53679,53069
千葉県,50917,44054
東京都,175890,108990
神奈川県,55404,68131
新潟県,71303,14967
富山県,27737,7178
石川県,23958,8696
福井県,20550,5856
山梨県,21594,5705
長野県,53314,14519
岐阜県,41446,14039
静岡県,65427,26261
愛知県,89574,62436
三重県,37796,12663
滋賀県,21305,11598
京都府,44449,18521
大阪府,105202,66602
兵庫県,82133,41605
奈良県,18026,8965
和歌山県,24490,6464
鳥取県,14625,4310
島根県,24019,5109
岡山県,38499,14910
広島県,53426,22150
山口県,34241,9455
徳島県,24382,5182
香川県,24502,7387
愛媛県,38367,9569
高知県,20867,4837
福岡県,83422,43438
佐賀県,23041,6743
長崎県,41373,10558
熊本県,43424,14657
大分県,32262,8658
宮崎県,28450,8797
鹿児島県,52386,13209
沖縄県,16413,16217