年,月,気温,ようかん,まんじゅう,他の和生菓子,カステラ,ケーキ,ゼリー,プリン,他の洋生菓子,せんべい,ビスケット,スナック菓子,キャンデー,チョコレート,チョコレート菓子,アイスクリーム,他の菓子
2010,1,11.0,1.7741935483870968,5.290322580645161,24.258064516129032,2.6451612903225805,19.677419354838708,1.8064516129032258,4.032258064516129,18.838709677419356,14.483870967741936,7.387096774193548,10.32258064516129,6.612903225806452,14.709677419354838,3.2903225806451615,11.67741935483871,59.54838709677419
2010,2,9.9,1.3571428571428572,4.357142857142857,23.321428571428573,2.25,19.464285714285715,2.4642857142857144,4.392857142857143,18.285714285714285,14.678571428571429,8.535714285714286,11.321428571428571,6.821428571428571,40.07142857142857,3.6785714285714284,10.892857142857142,56.17857142857143
2010,3,13.2,1.1290322580645162,4.967741935483871,32.58064516129032,2.774193548387097,21.193548387096776,3.161290322580645,4.451612903225806,20.838709677419356,16.419354838709676,12.774193548387096,11.741935483870968,6.903225806451613,13.193548387096774,3.5806451612903225,12.35483870967742,63.83870967741935
2010,4,16.6,1.2333333333333334,4.633333333333334,27.6,2.7,17.4,4.233333333333333,4.4,18.533333333333335,15.533333333333333,8.7,11.933333333333334,6.633333333333334,9.566666666666666,3.3666666666666667,15.466666666666667,54.7
2010,5,23.0,2.032258064516129,5.290322580645161,30.612903225806452,2.903225806451613,17.774193548387096,5.870967741935484,4.483870967741935,18.967741935483872,14.387096774193548,8.741935483870968,11.612903225806452,6.290322580645161,7.516129032258065,2.6774193548387095,24.258064516129032,53.61290322580645
2010,6,27.5,2.1333333333333333,4.0,21.366666666666667,2.1666666666666665,14.633333333333333,8.9,4.566666666666666,15.633333333333333,12.933333333333334,8.566666666666666,10.833333333333334,5.5,7.333333333333333,2.3333333333333335,28.033333333333335,48.36666666666667
2010,7,31.6,3.4516129032258065,3.5483870967741935,20.580645161290324,2.064516129032258,13.387096774193548,11.870967741935484,4.129032258064516,16.193548387096776,12.935483870967742,8.35483870967742,10.193548387096774,5.258064516129032,4.806451612903226,2.2580645161290325,39.064516129032256,48.70967741935484
2010,8,33.5,4.225806451612903,5.161290322580645,26.870967741935484,2.193548387096774,14.903225806451612,12.064516129032258,4.290322580645161,18.225806451612904,14.096774193548388,8.451612903225806,10.387096774193548,5.225806451612903,4.32258064516129,2.129032258064516,46.806451612903224,64.09677419354838
2010,9,29.0,1.3333333333333333,4.666666666666667,24.266666666666666,1.9666666666666666,14.9,4.8,4.166666666666667,15.366666666666667,12.4,7.533333333333333,10.566666666666666,5.4,6.966666666666667,2.566666666666667,28.8,47.833333333333336
2010,10,21.8,1.3548387096774193,4.290322580645161,22.516129032258064,2.032258064516129,16.387096774193548,3.4193548387096775,4.32258064516129,17.903225806451612,12.516129032258064,8.096774193548388,10.870967741935484,6.354838709677419,10.290322580645162,3.6129032258064515,16.258064516129032,52.45161290322581
2010,11,17.2,1.6333333333333333,5.166666666666667,22.7,2.566666666666667,18.866666666666667,2.6,3.9,19.0,13.566666666666666,8.533333333333333,10.866666666666667,7.266666666666667,11.766666666666667,3.8666666666666667,11.7,52.666666666666664
2010,12,13.7,3.161290322580645,4.419354838709677,29.483870967741936,3.3870967741935485,43.096774193548384,2.5483870967741935,4.32258064516129,24.06451612903226,18.516129032258064,10.612903225806452,12.483870967741936,7.032258064516129,13.935483870967742,4.290322580645161,13.64516129032258,76.2258064516129
2011,1,9.1,1.4193548387096775,3.870967741935484,21.93548387096774,2.3870967741935485,17.93548387096774,2.3548387096774195,3.903225806451613,19.258064516129032,13.129032258064516,7.709677419354839,10.548387096774194,6.290322580645161,14.741935483870968,3.4516129032258065,11.161290322580646,55.96774193548387
2011,2,11.2,1.25,3.5,22.714285714285715,2.4642857142857144,18.0,3.0,4.214285714285714,18.5,13.5,8.214285714285714,11.392857142857142,6.535714285714286,39.964285714285715,4.428571428571429,10.321428571428571,55.285714285714285
2011,3,12.3,0.9032258064516129,3.7096774193548385,27.870967741935484,2.870967741935484,19.225806451612904,3.967741935483871,3.870967741935484,19.451612903225808,15.774193548387096,11.32258064516129,13.096774193548388,7.0,12.806451612903226,4.32258064516129,10.612903225806452,57.193548387096776
2011,4,18.9,1.1333333333333333,4.933333333333334,28.933333333333334,2.7333333333333334,17.233333333333334,5.1,4.066666666666666,19.066666666666666,15.366666666666667,8.466666666666667,12.1,6.333333333333333,9.633333333333333,3.433333333333333,15.4,53.43333333333333
2011,5,22.2,1.8709677419354838,4.709677419354839,28.677419354838708,3.064516129032258,16.516129032258064,6.32258064516129,4.419354838709677,19.129032258064516,15.064516129032258,8.580645161290322,11.516129032258064,5.935483870967742,8.483870967741936,2.774193548387097,21.677419354838708,53.16129032258065
2011,6,26.0,2.7333333333333334,3.2,19.9,1.8666666666666667,14.066666666666666,8.0,4.533333333333333,16.166666666666668,13.033333333333333,7.933333333333334,10.7,5.4,6.466666666666667,2.6,26.366666666666667,45.833333333333336
2011,7,30.9,3.161290322580645,2.967741935483871,20.580645161290324,1.7419354838709677,12.387096774193548,12.903225806451612,3.967741935483871,15.838709677419354,11.96774193548387,6.967741935483871,10.387096774193548,5.064516129032258,5.161290322580645,1.8709677419354838,40.806451612903224,48.54838709677419
2011,8,31.2,4.129032258064516,4.451612903225806,25.70967741935484,2.193548387096774,14.064516129032258,10.870967741935484,4.516129032258065,16.548387096774192,15.064516129032258,9.806451612903226,10.548387096774194,4.935483870967742,5.032258064516129,2.161290322580645,40.03225806451613,63.806451612903224
2011,9,28.8,1.7,4.0,25.233333333333334,1.9,15.666666666666666,4.933333333333334,4.033333333333333,16.066666666666666,12.2,8.0,10.066666666666666,5.3,7.0,2.6666666666666665,25.566666666666666,48.36666666666667
2011,10,23.0,1.3548387096774193,4.612903225806452,21.548387096774192,1.8709677419354838,16.838709677419356,3.129032258064516,4.193548387096774,17.06451612903226,13.161290322580646,8.419354838709678,10.32258064516129,6.483870967741935,10.0,3.6129032258064515,16.64516129032258,48.935483870967744
2011,11,18.3,1.5,4.066666666666666,22.333333333333332,2.1666666666666665,18.3,2.7666666666666666,3.9,17.733333333333334,13.733333333333333,9.533333333333333,10.966666666666667,6.8,11.866666666666667,3.9,13.1,51.333333333333336
2011,12,11.1,2.806451612903226,4.483870967741935,27.548387096774192,3.161290322580645,44.645161290322584,2.6129032258064515,3.903225806451613,24.419354838709676,18.258064516129032,10.612903225806452,12.193548387096774,6.709677419354839,14.935483870967742,4.129032258064516,13.64516129032258,75.70967741935483
2012,1,8.3,1.5483870967741935,4.0,22.161290322580644,2.903225806451613,17.774193548387096,2.4838709677419355,3.935483870967742,19.193548387096776,12.741935483870968,8.225806451612904,10.387096774193548,6.225806451612903,14.870967741935484,3.806451612903226,10.935483870967742,58.25806451612903
2012,2,9.1,1.2413793103448276,3.6206896551724137,21.17241379310345,2.793103448275862,17.24137931034483,2.7586206896551726,3.8275862068965516,18.517241379310345,13.862068965517242,9.586206896551724,11.344827586206897,6.724137931034483,40.10344827586207,4.620689655172414,9.448275862068966,54.793103448275865
2012,3,12.5,1.3548387096774193,4.129032258064516,31.193548387096776,2.870967741935484,20.548387096774192,3.7419354838709675,4.032258064516129,21.483870967741936,16.419354838709676,12.806451612903226,12.32258064516129,6.548387096774194,13.161290322580646,3.935483870967742,12.419354838709678,63.16129032258065
2012,4,18.5,1.2,3.8,25.666666666666668,2.8333333333333335,16.966666666666665,4.866666666666666,3.933333333333333,19.4,15.266666666666667,9.533333333333333,12.533333333333333,5.866666666666666,9.633333333333333,3.2333333333333334,17.466666666666665,54.36666666666667
2012,5,23.6,1.7741935483870968,4.645161290322581,28.870967741935484,2.193548387096774,17.225806451612904,6.419354838709677,4.161290322580645,18.451612903225808,14.419354838709678,9.129032258064516,11.451612903225806,5.774193548387097,8.935483870967742,2.774193548387097,21.64516129032258,55.03225806451613
2012,6,24.8,3.033333333333333,3.466666666666667,20.933333333333334,2.033333333333333,14.133333333333333,8.6,4.3,17.666666666666668,13.8,8.9,10.933333333333334,5.466666666666667,7.033333333333333,2.7,26.6,48.833333333333336
2012,7,30.1,3.3870967741935485,3.129032258064516,20.06451612903226,1.7419354838709677,12.806451612903226,11.838709677419354,4.387096774193548,14.612903225806452,12.580645161290322,7.483870967741935,10.258064516129032,5.032258064516129,4.935483870967742,2.2903225806451615,37.58064516129032,51.25806451612903
2012,8,33.1,4.129032258064516,4.387096774193548,26.451612903225808,2.032258064516129,13.35483870967742,13.387096774193548,3.870967741935484,18.0,15.387096774193548,8.838709677419354,11.225806451612904,4.838709677419355,5.193548387096774,2.032258064516129,42.96774193548387,63.12903225806452
2012,9,29.8,1.5,3.8666666666666667,24.2,2.3666666666666667,14.866666666666667,5.033333333333333,3.7666666666666666,15.7,11.866666666666667,7.5,10.266666666666667,4.533333333333333,7.1,2.7,28.3,47.6
2012,10,23.0,1.3870967741935485,4.225806451612903,21.774193548387096,2.161290322580645,15.419354838709678,3.064516129032258,3.774193548387097,17.387096774193548,12.483870967741936,8.225806451612904,10.580645161290322,5.806451612903226,10.741935483870968,3.7096774193548385,16.612903225806452,46.54838709677419
2012,11,16.3,1.3666666666666667,3.466666666666667,22.233333333333334,2.4,17.233333333333334,2.466666666666667,3.7,17.1,13.3,9.1,10.966666666666667,6.333333333333333,13.0,4.4,10.866666666666667,52.666666666666664
2012,12,11.2,2.7419354838709675,3.967741935483871,28.29032258064516,3.161290322580645,44.354838709677416,2.5806451612903225,3.967741935483871,22.612903225806452,21.06451612903226,10.419354838709678,12.96774193548387,6.290322580645161,15.161290322580646,4.451612903225806,13.35483870967742,75.90322580645162
2013,1,9.6,1.2580645161290323,3.4193548387096775,21.967741935483872,2.838709677419355,17.387096774193548,2.3870967741935485,3.870967741935484,18.580645161290324,14.129032258064516,7.32258064516129,10.67741935483871,5.451612903225806,15.806451612903226,3.5483870967741935,11.709677419354838,55.74193548387097
2013,2,10.3,1.1785714285714286,3.392857142857143,21.821428571428573,2.857142857142857,17.892857142857142,2.8214285714285716,4.035714285714286,18.892857142857142,14.142857142857142,9.964285714285714,11.892857142857142,6.571428571428571,44.32142857142857,4.464285714285714,11.5,54.964285714285715
2013,3,16.4,1.1612903225806452,4.258064516129032,32.645161290322584,3.129032258064516,21.35483870967742,3.5806451612903225,3.903225806451613,22.032258064516128,16.161290322580644,12.612903225806452,11.806451612903226,6.516129032258065,14.32258064516129,3.967741935483871,14.129032258064516,60.25806451612903
2013,4,19.2,1.5,4.2,26.433333333333334,2.7666666666666666,15.966666666666667,5.033333333333333,3.933333333333333,19.366666666666667,14.733333333333333,10.066666666666666,12.533333333333333,6.033333333333333,10.3,3.9,17.5,55.4
2013,5,24.1,1.7096774193548387,4.225806451612903,27.322580645161292,2.6774193548387095,16.548387096774192,6.612903225806452,4.129032258064516,19.70967741935484,14.096774193548388,8.806451612903226,11.774193548387096,5.967741935483871,8.870967741935484,3.193548387096774,24.548387096774192,52.83870967741935
2013,6,26.5,2.433333333333333,3.3666666666666667,21.0,2.3,14.733333333333333,9.466666666666667,4.466666666666667,16.8,13.4,8.033333333333333,10.833333333333334,5.566666666666666,7.166666666666667,2.8333333333333335,29.266666666666666,48.3
2013,7,31.4,4.064516129032258,2.5483870967741935,20.70967741935484,1.935483870967742,12.580645161290322,13.225806451612904,4.161290322580645,16.516129032258064,12.580645161290322,8.580645161290322,10.35483870967742,5.451612903225806,5.516129032258065,2.4838709677419355,39.806451612903224,49.516129032258064
2013,8,33.2,4.064516129032258,4.419354838709677,26.516129032258064,2.4193548387096775,14.161290322580646,12.03225806451613,4.161290322580645,19.870967741935484,16.06451612903226,10.387096774193548,11.0,5.032258064516129,5.612903225806452,2.2903225806451615,46.354838709677416,66.80645161290323
2013,9,28.8,1.8666666666666667,3.7666666666666666,25.0,2.8666666666666667,15.366666666666667,4.8,4.166666666666667,17.166666666666668,12.966666666666667,8.533333333333333,11.033333333333333,5.0,7.633333333333334,3.2666666666666666,26.466666666666665,48.86666666666667
2013,10,23.0,1.4193548387096775,3.193548387096774,21.70967741935484,1.935483870967742,15.258064516129032,2.935483870967742,4.258064516129032,17.0,13.516129032258064,7.838709677419355,10.741935483870968,5.903225806451613,10.612903225806452,3.774193548387097,17.70967741935484,47.45161290322581
2013,11,17.4,1.6666666666666667,4.366666666666666,23.133333333333333,2.2333333333333334,18.266666666666666,2.3333333333333335,3.8,20.033333333333335,14.066666666666666,9.533333333333333,11.4,6.6,12.966666666666667,4.033333333333333,12.333333333333334,54.36666666666667
2013,12,12.1,2.6451612903225805,4.0,28.419354838709676,3.193548387096774,44.83870967741935,2.4838709677419355,3.5806451612903225,23.483870967741936,18.93548387096774,10.806451612903226,12.451612903225806,6.32258064516129,15.96774193548387,3.870967741935484,14.35483870967742,72.12903225806451
2014,1,10.6,1.4516129032258065,3.3548387096774195,23.483870967741936,2.838709677419355,16.967741935483872,2.4516129032258065,3.7096774193548385,18.419354838709676,13.903225806451612,7.806451612903226,9.96774193548387,5.967741935483871,17.70967741935484,3.7096774193548385,12.774193548387096,55.54838709677419
2014,2,9.8,1.3571428571428572,3.1785714285714284,20.607142857142858,2.6785714285714284,17.0,2.607142857142857,3.857142857142857,19.428571428571427,14.964285714285714,9.107142857142858,11.428571428571429,6.142857142857143,42.607142857142854,4.642857142857143,11.035714285714286,53.42857142857143
2014,3,14.5,1.096774193548387,3.838709677419355,31.548387096774192,2.903225806451613,20.516129032258064,3.4193548387096775,4.032258064516129,23.64516129032258,17.903225806451612,12.774193548387096,12.129032258064516,6.580645161290323,17.032258064516128,4.516129032258065,14.419354838709678,63.354838709677416
2014,4,19.6,1.4,3.2333333333333334,26.733333333333334,3.1,16.166666666666668,4.733333333333333,3.9,20.566666666666666,15.5,8.966666666666667,11.666666666666666,5.5,11.366666666666667,3.6333333333333333,17.333333333333332,52.766666666666666
2014,5,24.7,1.7419354838709677,3.5483870967741935,28.93548387096774,2.4838709677419355,16.64516129032258,6.67741935483871,4.064516129032258,19.0,15.03225806451613,9.03225806451613,12.064516129032258,5.612903225806452,9.838709677419354,3.3225806451612905,25.903225806451612,52.29032258064516
2014,6,26.9,2.2333333333333334,3.2333333333333334,21.4,2.2,14.4,8.7,3.8666666666666667,17.2,14.966666666666667,8.433333333333334,11.966666666666667,5.333333333333333,7.566666666666666,2.8333333333333335,30.0,46.8
2014,7,30.5,3.225806451612903,2.967741935483871,18.870967741935484,1.6774193548387097,13.516129032258064,11.870967741935484,4.193548387096774,16.741935483870968,12.580645161290322,8.516129032258064,11.774193548387096,5.096774193548387,6.709677419354839,2.5806451612903225,38.774193548387096,48.96774193548387
2014,8,31.2,3.7419354838709675,4.129032258064516,26.548387096774192,2.225806451612903,16.06451612903226,11.193548387096774,3.935483870967742,19.70967741935484,16.06451612903226,9.741935483870968,12.612903225806452,5.064516129032258,6.483870967741935,2.7096774193548385,39.935483870967744,61.96774193548387
2014,9,26.9,1.6666666666666667,4.066666666666666,25.433333333333334,2.1333333333333333,14.166666666666666,4.666666666666667,4.066666666666666,17.2,14.266666666666667,8.666666666666666,11.933333333333334,5.233333333333333,9.133333333333333,3.4,24.933333333333334,48.93333333333333
2014,10,23.0,1.3870967741935485,3.870967741935484,20.838709677419356,1.935483870967742,15.838709677419354,3.032258064516129,4.032258064516129,18.548387096774192,13.838709677419354,8.709677419354838,12.35483870967742,6.290322580645161,13.451612903225806,4.225806451612903,18.387096774193548,50.12903225806452
2014,11,17.4,1.4333333333333333,3.8,23.8,2.6,19.4,2.3333333333333335,3.9,19.5,16.566666666666666,9.8,12.333333333333334,6.566666666666666,14.166666666666666,4.766666666666667,13.966666666666667,56.266666666666666
